old.word,new.word
fyi,FYI
storagebradrick,storage
accy,acct
rowweeds,row weeds
oslund,unsound
codeunit,code unit
highrise,high rise
sprinklered,sprinkle red
bldgs,bldg
ecalots,escalopes
djm,dim
tere,tear
recved,revved
ofr,for
knd,kn
durango,Duran
violationinop,violation
storagezoning,storage zoning
motorhome,motor home
sharon,Sharon
othe,the
yardzoning,yard zoning
runstad,runs tad
incpobox,paintbox
sumner,Sumner
abatementbsmt,abatement
landuse,land use
violationexpanded,violation expanded
kirkland,Kirkland
vehiclesland,vehicles land
researche,research
dindicated,indicated
jceoviolations,consolations
trahs,trash
buick,Buick
ard,rad
oldsmobile,Oldsmobile
afc,AFC
xye,ye
unithousing,unit housing
stephen,Stephen
lowe,Lowe
ovg,gov
blaine,Blaine
saturdays,Saturdays
violationspictures,violations pictures
duwamish,warmish
budda,buddy
processorpermit,processor permit
judy,Judy
boyfreind,boyfriend
dk,d
timm,time
judith,Judith
hurlocker,hurl ocker
ofcrs,officers
stephanie,Stephanie
roose,ruse
william,William
maurice,Maurice
violationdefective,violation defective
zonevehicle,zone vehicle
entryvacant,entry vacant
overgrowthoutdoor,overgrowth outdoor
residencebuilding,residence building
codeunsecured,code unsecured
occpied,occupied
omar,Omar
andersen,Andersen
canda,panda
rtu,rut
rafn,ran
tenanat,tenant
contracto,contract
brc,bra
cconfirm,confirm
leq,lee
linda,Linda
mestisas,metastasis
miestes,homiest
vk,ck
keith,Keith
powervents,power vents
johanson,Johnson
whainsp,chainsaw
tempterature,temperature
feethousing,feet housing
observedhousing,observed housing
zonesevere,zone severe
wateroutdoor,water outdoor
violationsbuilding,violations building
tankless,thankless
planconditions,plan conditions
tracie,Tracie
blair,blare
murphy,Murphy
transportion,trans portion
resecure,re secure
